YEAR DOY HR    1     2     3   4  5     6     7 
2022   1  0  -4.6   5.4  389. 23  48     6  90.8
2022   1  1  -0.7   4.7  390. 23  48    -3  90.8
2022   1  2  -4.8   2.1  454. 23  48    -7  90.8
2022   1  3  -8.9   2.7  466. 40  48   -13  90.8
2022   1  4  -4.8   1.9  454. 40  48   -21  90.8
2022   1  5  -0.3   2.0  449. 40  48   -23  90.8
2022   1  6  -0.2   2.2  453. 23  48   -17  90.8
2022   1  7  -2.8   1.4  447. 23  48   -16  90.8
2022   1  8   4.6   1.9  456. 23  48   -17  90.8
2022   1  9   5.1   1.4  507. 17  48   -13  90.8
2022   1 10   1.6   1.2  541. 17  48   -12  90.8
2022   1 11   1.8   1.2  565. 17  48   -11  90.8
2022   1 12   1.4   1.2  568. 17  48   -10  90.8
2022   1 13   1.4   1.2  567. 17  48   -11  90.8
2022   1 14   0.9   1.1  574. 17  48   -10  90.8
2022   1 15  -0.3   1.3  567. 30  48    -7  90.8
2022   1 16  -1.2   1.4  558. 30  48    -7  90.8
2022   1 17  -1.7   1.6  542. 30  48   -10  90.8
2022   1 18  -0.8   1.6  536. 30  48   -13  90.8
2022   1 19  -2.9   1.5  539. 30  48   -12  90.8
2022   1 20   0.4   1.6  524. 30  48   -12  90.8
2022   1 21   1.2   1.8  560. 13  48   -10  90.8
2022   1 22   0.0   1.8  559. 13  48   -10  90.8
2022   1 23  -1.4   1.9  559. 13  48    -8  90.8
2022   2  0  -0.4   1.8  582. 30  27    -7  86.0
2022   2  1  -1.4   1.6  534. 30  27    -7  86.0
2022   2  2   1.1   1.8  547. 30  27    -8  86.0
2022   2  3   1.6   1.8  546. 17  27    -8  86.0
2022   2  4  -0.8   1.8  530. 17  27    -9  86.0
2022   2  5  -0.3   2.1  514. 17  27   -13  86.0
2022   2  6   0.4   2.3  515. 13  27   -14  86.0
2022   2  7   0.3   2.2  521. 13  27   -15  86.0
2022   2  8   0.2   2.2  523. 13  27   -14  86.0
2022   2  9   0.5   2.1  513. 13  27   -12  86.0
2022   2 10   0.0   2.1  518. 13  27    -9  86.0
2022   2 11  -0.1   1.7  509. 13  27    -6  86.0
2022   2 12  -0.4   2.1  503. 10  27    -5  86.0
2022   2 13   0.2   2.1  488. 10  27    -9  86.0
2022   2 14  -1.0   2.2  488. 10  27   -11  86.0
2022   2 15  -1.4   1.8  486. 23  27    -6  86.0
2022   2 16  -2.0   2.4  503. 23  27    -5  86.0
2022   2 17  -1.2   2.1  469. 23  27    -9  86.0
2022   2 18  -2.3   2.0  464. 23  27   -10  86.0
2022   2 19  -2.5   2.1  470. 23  27   -12  86.0
2022   2 20  -2.2   2.9  521. 23  27   -13  86.0
2022   2 21  -0.6   2.7  496. 33  27   -15  86.0
2022   2 22  -0.3   1.9  461. 33  27   -12  86.0
2022   2 23  -0.3   2.4  468. 33  27    -4  86.0
2022   3  0   0.3   4.0  506. 20  10     3  81.3
2022   3  1  -0.2   3.6  494. 20  10     1  81.3
2022   3  2   0.2   4.0  502. 20  10    -1  81.3
2022   3  3  -2.4   3.4  526. 40  10    -1  81.3
2022   3  4  -1.2   3.7  551. 40  10    -6  81.3
2022   3  5  -3.8   2.4  595. 40  10   -12  81.3
2022   3  6  -4.5   2.3  601. 33  10   -17  81.3
2022   3  7  -3.9   2.4  574. 33  10   -17  81.3
2022   3  8  -3.5   2.9  534. 33  10   -20  81.3
2022   3  9  -2.6   4.9  540. 30  10   -21  81.3
2022   3 10  -0.1   3.3  530. 30  10   -25  81.3
2022   3 11   4.1   3.7  523. 30  10   -20  81.3
2022   3 12   3.7   4.3  525. 20  10   -11  81.3
2022   3 13   3.1   3.9  519. 20  10    -8  81.3
2022   3 14   0.2   2.8  510. 20  10   -10  81.3
2022   3 15   1.3   2.9  503. 13  10    -8  81.3
2022   3 16   0.4   3.0  498. 13  10    -8  81.3
2022   3 17  -2.1   3.0  498. 13  10    -9  81.3
2022   3 18  -1.6   2.7  490. 17  10   -11  81.3
2022   3 19  -1.9   2.8  489. 17  10   -12  81.3
2022   3 20  -1.2   2.9  486. 17  10   -11  81.3
2022   3 21   0.0   2.8  477. 20  10   -13  81.3
2022   3 22  -1.3   2.9  468. 20  10   -14  81.3
2022   3 23  -1.9   2.9  475. 20  10    -9  81.3
2022   4  0  -2.0   2.3  496. 23  10    -6  82.7
2022   4  1  -1.4   2.2  493. 23  10    -7  82.7
2022   4  2  -1.4   2.4  496. 23  10    -6  82.7
2022   4  3  -1.6   2.7  491. 30  10    -6  82.7
2022   4  4  -2.2   3.2  475. 30  10    -6  82.7
2022   4  5  -2.0   3.1  466. 30  10    -7  82.7
2022   4  6  -0.1   3.2  446.  7  10    -8  82.7
2022   4  7  -1.1   3.1  446.  7  10   -12  82.7
2022   4  8  -1.8   2.6  428.  7  10   -15  82.7
2022   4  9   0.3   3.0  448. 13  10   -18  82.7
2022   4 10   1.1   2.9  441. 13  10   -19  82.7
2022   4 11   0.8   2.9  437. 13  10   -18  82.7
2022   4 12   0.4   3.3  433.  7  10   -14  82.7
2022   4 13   0.3   3.5  427.  7  10   -11  82.7
2022   4 14  -0.2   3.3  425.  7  10   -10  82.7
2022   4 15  -0.1   2.2  412.  0  10    -9  82.7
2022   4 16  -0.4   1.8  406.  0  10   -10  82.7
2022   4 17   0.4   2.4  397.  0  10   -11  82.7
2022   4 18   0.0   2.3  393.  3  10   -11  82.7
2022   4 19  -0.1   1.9  391.  3  10   -11  82.7
2022   4 20  -0.1   2.0  389.  3  10    -9  82.7
2022   4 21   1.4   2.1  388.  3  10    -7  82.7
2022   4 22   1.7   2.4  383.  3  10    -7  82.7
2022   4 23   0.6   2.3  380.  3  10    -4  82.7
2022   5  0  -0.3   2.5  383.  7  23    -3  81.0
2022   5  1   0.3   3.4  400.  7  23    -2  81.0
2022   5  2  -0.9   3.4  397.  7  23    -2  81.0
2022   5  3  -1.5   3.5  393. 23  23    -2  81.0
2022   5  4  -1.5   3.5  388. 23  23    -1  81.0
2022   5  5   1.0   3.5  386. 23  23    -2  81.0
2022   5  6   3.8   3.8  392.  0  23    -2  81.0
2022   5  7   2.7   3.6  389.  0  23    -3  81.0
2022   5  8   0.5   3.1  393.  0  23    -6  81.0
2022   5  9   3.7   2.8  387.  0  23    -8  81.0
2022   5 10   3.1   2.8  386.  0  23    -7  81.0
2022   5 11   3.3   2.4  384.  0  23    -6  81.0
2022   5 12  -2.0   2.9  397.  7  23    -5  81.0
2022   5 13  -1.8   3.6  397.  7  23    -7  81.0
2022   5 14   0.0   2.4  368.  7  23    -4  81.0
2022   5 15  -1.0   2.1  354. 13  23    -1  81.0
2022   5 16   0.2   2.2  352. 13  23    -3  81.0
2022   5 17   0.6   2.4  363. 13  23    -4  81.0
2022   5 18   0.6   3.0  381.  0  23    -3  81.0
2022   5 19   1.1   3.0  376.  0  23    -2  81.0
2022   5 20   1.0   2.7  368.  0  23    -1  81.0
2022   5 21   0.3   2.4  370.  0  23    -4  81.0
2022   5 22   2.2   3.1  374.  0  23    -5  81.0
2022   5 23   0.4   3.4  387.  0  23    -3  81.0
2022   6  0   0.3   3.1  377.  0  34    -4  90.6
2022   6  1   1.6   2.3  345.  0  34    -4  90.6
2022   6  2   0.6   2.6  358.  0  34     0  90.6
2022   6  3   0.9   2.7  353.  0  34     1  90.6
2022   6  4   0.7   2.5  362.  0  34     2  90.6
2022   6  5   0.8   2.3  368.  0  34     0  90.6
2022   6  6   1.4   2.4  368.  0  34    -1  90.6
2022   6  7   2.2   3.8  364.  0  34    -3  90.6
2022   6  8   1.9   3.6  363.  0  34    -5  90.6
2022   6  9   2.1   4.0  358.  0  34    -5  90.6
2022   6 10   1.4   4.3  355.  0  34    -4  90.6
2022   6 11   2.0   4.2  352.  0  34    -3  90.6
2022   6 12   2.5   4.2  351.  0  34    -1  90.6
2022   6 13   1.4   5.2  350.  0  34     0  90.6
2022   6 14   1.6   4.9  348.  0  34     1  90.6
2022   6 15   1.7   3.6  351.  0  34     3  90.6
2022   6 16   2.2   2.9  353.  0  34     4  90.6
2022   6 17  -0.6   2.1  346.  0  34     1  90.6
2022   6 18  -1.2   2.4  349.  3  34     0  90.6
2022   6 19  -1.5   2.3  341.  3  34    -1  90.6
2022   6 20  -0.1   2.1  346.  3  34    -1  90.6
2022   6 21   0.4   1.9  341.  0  34    -4  90.6
2022   6 22   0.9   2.8  342.  0  34    -6  90.6
2022   6 23  -0.7   1.7  331.  0  34    -6  90.6
2022   7  0   0.1   2.1  326.  0  44    -6 103.8
2022   7  1   1.0   2.1  320.  0  44    -3 103.8
2022   7  2   0.6   2.1  317.  0  44     0 103.8
2022   7  3   0.5   2.4  314.  0  44     1 103.8
2022   7  4   0.4   2.5  311.  0  44     2 103.8
2022   7  5  -0.2   2.4  309.  0  44     3 103.8
2022   7  6  -0.3   2.6  317.  0  44     4 103.8
2022   7  7   0.9   3.3  323.  0  44     4 103.8
2022   7  8   0.8   3.3  322.  0  44     4 103.8
2022   7  9   1.5   2.8  318.  0  44     2 103.8
2022   7 10   3.2   4.2  325.  0  44    -1 103.8
2022   7 11   2.7   4.2  319.  0  44    -3 103.8
2022   7 12   1.3   4.3  316.  0  44    -6 103.8
2022   7 13   0.7   4.4  314.  0  44    -5 103.8
2022   7 14   0.6   4.5  314.  0  44    -1 103.8
2022   7 15   0.4   4.3  314.  0  44     3 103.8
2022   7 16   1.3   3.0  306.  0  44     4 103.8
2022   7 17   1.4   3.2  310.  0  44     5 103.8
2022   7 18   0.2   2.7  300.  0  44     5 103.8
2022   7 19   0.9   3.7  306.  0  44     5 103.8
2022   7 20  -0.3   3.3  298.  0  44     4 103.8
2022   7 21   0.0   3.4  298.  0  44     0 103.8
2022   7 22   0.1   3.6  297.  0  44    -2 103.8
2022   7 23   1.1   4.0  295.  0  44     0 103.8
2022   8  0   1.0   4.2  293.  0  44    -2  99.1
2022   8  1   0.3   3.9  295.  0  44    -1  99.1
2022   8  2   1.2   4.7  289.  0  44     2  99.1
2022   8  3   0.5   5.2  292.  0  44     4  99.1
2022   8  4  -0.7   6.4  296.  0  44     7  99.1
2022   8  5  -0.4   6.6  292.  0  44     8  99.1
2022   8  6  -0.9   7.5  297. 10  44     9  99.1
2022   8  7   0.2   9.3  296. 10  44     9  99.1
2022   8  8  -3.0   9.0  302. 10  44    10  99.1
2022   8  9  -0.5  12.5  302.  7  44    10  99.1
2022   8 10   1.6  19.1  302.  7  44    12  99.1
